str,en_US,fr_FR,de_DE,tr_TR,
selectCountdownSettingsText,Select the number of minutes before the next prayer time that you want an alert for.,sélectionnez le nombre de minutes avant la prochaine heure de prière pour laquelle vous souhaitez une alerte.,"Wählen Sie die Anzahl der Minuten vor der nächsten Gebetszeit aus, für die Sie benachrichtigt werden möchten.",uyarı almak istediğiniz bir sonraki namaz vaktinden önceki dakika sayısını seçin.,
automatically detect,Automatically Detect,détecter automatiquement,automatisch erkennen,otomatik olarak algıla,
fast,Fast,vite,schnell,hızlı,
normal,Normal,Ordinaire,normal,normal,
slow,Slow,lent,langsam,yavaş,
remote on,Remote On,à distance sur,Fernbedienung an,uzaktan kumanda açık,
remote off,Remote Off,à distance,Fernbedienung aus,uzaktan kapalı,
automatically detect,Automatically Detect,Détecter automatiquement,Automatisch erkennen,Otomatik Olarak Algıla,
minutes,minutes,minutes,Protokoll,dakika,
min,{} min,{} min,{} min,{} dakika,
tesbih,Tesbih,Tesbih,Tesbih,Tesbih,
error extracting timings,Error Extracting Timings,Error Extracting Timings,Error Extracting Timings,Error Extracting Timings,
error location,We are not able to detect your location at this time. Please enter your location manually.,We are not able to detect your location at this time. Please enter your location manually.,We are not able to detect your location at this time. Please enter your location manually.,We are not able to detect your location at this time. Please enter your location manually.,
location disabled,Location services are disabled.,Location services are disabled.,Location services are disabled.,Location services are disabled.,
location permanently denied,"Location permissions are permanently denied, we cannot request permissions.","Location permissions are permanently denied, we cannot request permissions.","Location permissions are permanently denied, we cannot request permissions.","Location permissions are permanently denied, we cannot request permissions.",
location denied,Location permissions are denied,Location permissions are denied,Location permissions are denied,Location permissions are denied,
no results,no results,no results,no results,no results,
error coordinates,Couldnt fetch Place Coordinates,Couldnt fetch Place Coordinates,Couldnt fetch Place Coordinates,Couldnt fetch Place Coordinates,
error hijri,Couldnt Hijri Date,Couldnt Hijri Date,Couldnt Hijri Date,Couldnt Hijri Date,
error,error,error,error,error,
error quran fetch,Error Fetching Quran Text,Error Fetching Quran Text,Error Fetching Quran Text,Error Fetching Quran Text,
error quran translation,Error Fetching Quran Translation,Error Fetching Quran Translation,Error Fetching Quran Translation,Error Fetching Quran Translation,
no internet,No Internet,No Internet,No Internet,No Internet,
madina azan,Madina Azan,Madina Azan,Madina Azan,Madina Azan,
makkah azan,Makkah Azan,Makkah Azan,Makkah Azan,Makkah Azan,
yusuf islam,Yusuf Islam,Yusuf Islam,Yusuf Islam,Yusuf Islam,
beautiful azan from madina,Beautiful azan from Madina,Beautiful azan from Madina,Beautiful azan from Madina,Beautiful azan from Madina,
beautiful azan from makkah,Beautiful azan from Makkah,Beautiful azan from Makkah,Beautiful azan from Makkah,Beautiful azan from Makkah,
azan from yusuf islam,Azan from Yusuf Islam,Azan from Yusuf Islam,Azan from Yusuf Islam,Azan from Yusuf Islam,
shafi,Shafi,Shafi,Shafi,Shafi,
hanafi,Hanafi,Hanafi,Hanafi,Hanafi,
to,To {},à {},zu {},ile {},
tasbih,Tesbih,Tesbih,Tesbih,Tesbih,
loading,Loading,Loading,Loading,Loading,
my homemasjid,My HomeMasjid,My HomeMasjid,My HomeMasjid,My HomeMasjid,
qibla help text,Turn left until the blue ball drops into the dent.,Turn left until the blue ball drops into the dent.,Turn left until the blue ball drops into the dent.,Turn left until the blue ball drops into the dent.,
to your right,TO YOUR RIGHT,TO YOUR RIGHT,TO YOUR RIGHT,TO YOUR RIGHT,
to your left,TO YOUR LEFT,TO YOUR LEFT,TO YOUR LEFT,TO YOUR LEFT,
use map for location,Use the map view to find your direction if you know exactly where you are facing based on the landmarks on the map.,Use the map view to find your direction if you know exactly where you are facing based on the landmarks on the map.,Use the map view to find your direction if you know exactly where you are facing based on the landmarks on the map.,Use the map view to find your direction if you know exactly where you are facing based on the landmarks on the map.,
compass,Compass,Compass,Compass,Compass,
map,Map,Map,Map,Map,
new / today,NEW / TODAY,NEW / TODAY,NEW / TODAY,NEW / TODAY,
daily,Daily,Daily,Daily,Daily,
weekly,Weekly,Weekly,Weekly,Weekly,
monthly,Monthly,Monthly,Monthly,Monthly,
yearly,Yearly,Yearly,Yearly,Yearly,
surah,Surah,Surah,Surah,Surah,
bookmarks,Bookmarks,Bookmarks,Bookmarks,Bookmarks,
surahs,Surahs,Surahs,Surahs,Surahs,
recent,Recent,Recent,Recent,Recent,
no bookmarks yet,No Bookmarks yet,No Bookmarks yet,No Bookmarks yet,No Bookmarks yet,
verse,Verse {},Verse {},Verse {},Verse {},
verses,{} {} verses,{} {} verses,{} {} verses,{} {} verses,
reciter,Reciter,Reciter,Reciter,Reciter,
play settings,Play Settings,Play Settings,Play Settings,Play Settings,
back,Back,Back,Back,Back,
connected,Connected,Connected,Connected,Connected,
abdul basit - murattal,Abdul Basit - Murattal,Abdul Basit - Murattal,Abdul Basit - Murattal,Abdul Basit - Murattal,
abdullah basfar,Abdullah Basfar,Abdullah Basfar,Abdullah Basfar,Abdullah Basfar,
abdul rahman al-sudais,Abdul Rahman Al-Sudais,Abdul Rahman Al-Sudais,Abdul Rahman Al-Sudais,Abdul Rahman Al-Sudais,
hani ar-rifai,Hani Ar-Rifai,Hani Ar-Rifai,Hani Ar-Rifai,Hani Ar-Rifai,
ahmed al ajmi,Ahmed Al Ajmi,Ahmed Al Ajmi,Ahmed Al Ajmi,Ahmed Al Ajmi,
mishary bin rashid alafasy,Mishary bin Rashid Alafasy,Mishary bin Rashid Alafasy,Mishary bin Rashid Alafasy,Mishary bin Rashid Alafasy,
ali al hudhaify,Ali al Hudhaify,Ali al Hudhaify,Ali al Hudhaify,Ali al Hudhaify,
mahmoud khalil al-husary,Mahmoud Khalil Al-Husary,Mahmoud Khalil Al-Husary,Mahmoud Khalil Al-Husary,Mahmoud Khalil Al-Husary,
maher al mueaqly,Maher Al Mueaqly,Maher Al Mueaqly,Maher Al Mueaqly,Maher Al Mueaqly,
mohamed siddiq el-minshawi,Mohamed Siddiq El-Minshawi,Mohamed Siddiq El-Minshawi,Mohamed Siddiq El-Minshawi,Mohamed Siddiq El-Minshawi,
muhammad ayyub,Muhammad Ayyub,Muhammad Ayyub,Muhammad Ayyub,Muhammad Ayyub,
muhammad jibreel,Muhammad Jibreel,Muhammad Jibreel,Muhammad Jibreel,Muhammad Jibreel,
abu bakr al-shaatri,Abu Bakr al-Shaatri,Abu Bakr al-Shaatri,Abu Bakr al-Shaatri,Abu Bakr al-Shaatri,
abdulbasit abdulsamad,Abdulbasit Abdulsamad,Abdulbasit Abdulsamad,Abdulbasit Abdulsamad,Abdulbasit Abdulsamad,
ayman swed,Ayman Swed,Ayman Swed,Ayman Swed,Ayman Swed,
saud al-shuraim,Saud Al-Shuraim,Saud Al-Shuraim,Saud Al-Shuraim,Saud Al-Shuraim,
shahriar parhizgar,Shahriar Parhizgar,Shahriar Parhizgar,Shahriar Parhizgar,Shahriar Parhizgar,
ibrahim al akhdar,Ibrahim Al Akhdar,Ibrahim Al Akhdar,Ibrahim Al Akhdar,Ibrahim Al Akhdar,
mishary al-afasy,Mishary Al-Afasy,Mishary Al-Afasy,Mishary Al-Afasy,Mishary Al-Afasy,
ayah repeat,Ayah Repeat,Ayah Repeat,Ayah Repeat,Ayah Repeat,
surah repeat,Surah Repeat,Surah Repeat,Surah Repeat,Surah Repeat,
recitation speed,Recitation Speed,Recitation Speed,Recitation Speed,Recitation Speed,
playlist,PLAYLIST,PLAYLIST,PLAYLIST,PLAYLIST,
adhan,Adhan,Adhan,Adhan,Adhan,
search,Search,Search,Search,Search,
time for prayer,Time for {} Prayer,Time for {} Prayer,Time for {} Prayer,Time for {} Prayer,
mins left,{} mins left to {} Prayer,{} mins left to {} Prayer,{} mins left to {} Prayer,{} mins left to {} Prayer,
english,English,English,English,English,
turkish,Turkish,Turkish,Turkish,Turkish,
german,German,German,German,German,
french,French,French,French,French,
selectDhikrGoal,Set up a target for how many dhikrs \n you want to complete in a day.,Set up a target for how many dhikrs \n you want to complete in a day.,Set up a target for how many dhikrs \n you want to complete in a day.,Set up a target for how many dhikrs \n you want to complete in a day.,
daily dhikr goal,Daily Dhikr Goal,Daily Dhikr Goal,Daily Dhikr Goal,Daily Dhikr Goal,
daily dhikrs,Daily Dhikr,Daily Dhikr,Daily Dhikr,Daily Dhikr,
progress tracker,Progress Tracker,Progress Tracker,Progress Tracker,Progress Tracker,
dhikr goal,Dhikr Goal,Dhikr Goal,Dhikr Goal,Dhikr Goal,
copy,Copy,Copy,Copy,Copy,
share,Share,Share,Share,Share,
copied,Copied,Copied,Copied,Copied,
sunrise,Sunrise,Sunrise,Sunrise,Sunrise,
connectBluetooth,Please turn ON your bluetooth and try connecting to masjidhub app again,Please turn ON your bluetooth and try connecting to masjidhub app again,Please turn ON your bluetooth and try connecting to masjidhub app again,Please turn ON your bluetooth and try connecting to masjidhub app again,
try again,Try Again,Try Again,Try Again,Try Again,
recite to,Recite to,Recite to,Recite to,Recite to,
recite from,Recite from ,Recite from ,Recite from ,Recite from ,
selection repeat,Selection repeat,Selection repeat,Selection repeat,Selection repeat,
abdul basit,Abdul Basit,Abdul Basit,Abdul Basit,Abdul Basit,
m. s. al-minshawi,M. S. Al-Minshawi,M. S. Al-Minshawi,M. S. Al-Minshawi,M. S. Al-Minshawi,
recitor,Recitor,Recitor,Recitor,Recitor,
prayer notifications on,Prayer Notifications On,Prayer Notifications On,Prayer Notifications On,Prayer Notifications On,
due to device limitations,"Due to device limitations, tap here to open Masjidhub so that you may continue to receive prayer notifications.","Due to device limitations, tap here to open Masjidhub so that you may continue to receive prayer notifications.","Due to device limitations, tap here to open Masjidhub so that you may continue to receive prayer notifications.","Due to device limitations, tap here to open Masjidhub so that you may continue to receive prayer notifications.",
update homemasjid,Would you like to update your Home Masjid with more accurate Adhan times?,Would you like to update your Home Masjid with more accurate Adhan times?,Would you like to update your Home Masjid with more accurate Adhan times?,Would you like to update your Home Masjid with more accurate Adhan times?,
timeItWillTake,It will take about {} minutes.,It will take about {} minutes.,It will take about {} minutes.,It will take about {} minutes.,
updating,Updating,Updating,Updating,Updating,
give us few minutes,Please give us few minutes to ensure highly accurate adhan times on your Home Masjid,Please give us few minutes to ensure highly accurate adhan times on your Home Masjid,Please give us few minutes to ensure highly accurate adhan times on your Home Masjid,Please give us few minutes to ensure highly accurate adhan times on your Home Masjid,Please give us few minutes to ensure highly accurate adhan times on your Home Masjid
update complete,Update Complete!,Update Complete!,Update Complete!,Update Complete!,
thank you for waiting,"Thank you for waiting patiently, we have updated Home Masjid.","Thank you for waiting patiently, we have updated Home Masjid.","Thank you for waiting patiently, we have updated Home Masjid.","Thank you for waiting patiently, we have updated Home Masjid.",
home masjid not detected,Home Masjid not detected,Home Masjid not detected,Home Masjid not detected,Home Masjid not detected,
make sure bluetooth on,Please make sure that the bluetooth in Home Masjid is switched On and the device is nearby.,Please make sure that the bluetooth in Home Masjid is switched On and the device is nearby.,Please make sure that the bluetooth in Home Masjid is switched On and the device is nearby.,Please make sure that the bluetooth in Home Masjid is switched On and the device is nearby.,
recite,Recite,Recite,Recite,Recite,
start ayah,Start Ayah,Start Ayah,Start Ayah,Start Ayah,
end ayah,End Ayah,End Ayah,End Ayah,End Ayah,
ayah,Ayah,Ayah,Ayah,Ayah,
start listening,Start Listening,Start Listening,Start Listening,Start Listening,
translation,Translation,Translation,Translation,Translation,
speed,Speed,Speed,Speed,Speed,
bismillahTranslation,"In the name of God, the Most Gracious, the Most Merciful","Au nom d’Allah, le Tout Clément, le Tout Miséricordieux.","Im Namen Allahs, des Allerbarmers, des Barmherzigen!",Rahman ve Rahim olan Allah'ın adıyla:,
noRecentSurah,No recently played Surahs,No recently played Surahs,No recently played Surahs,No recently played Surahs,
initial setup,Initial Setup,Initial Setup,Initial Setup,Initial Setup,
update later,Update Later,Update Later,Update Later,Update Later,
setting up home masjid,"Setting up Home Masjid prayer times, this may take few minutes.","Setting up Home Masjid prayer times, this may take few minutes.","Setting up Home Masjid prayer times, this may take few minutes.","Setting up Home Masjid prayer times, this may take few minutes.",
setup complete,Setup Complete!,Setup Complete!,Setup Complete!,Setup Complete!,
setting up,Setting Up,Setting Up,Setting Up,Setting Up,
search by surah,Search by surah,Search by surah,Search by surah,Search by surah,
No Internet Connection,No Internet Connection,No Internet Connection,No Internet Connection,No Internet Connection,
Please enable Wifi or Cellular Data to view updated prayer times.,Please enable Wifi or Cellular Data to view updated prayer times.,Please enable Wifi or Cellular Data to view updated prayer times.,Please enable Wifi or Cellular Data to view updated prayer times.,Please enable Wifi or Cellular Data to view updated prayer times.,
No GPS Connection,No GPS Connection,No GPS Connection,No GPS Connection,No GPS Connection,
Please enable GPS to access location settings.,Please enable GPS to access location settings.,Please enable GPS to access location settings.,Please enable GPS to access location settings.,Please enable GPS to access location settings.,
Enable,Enable,Enable,Enable,Enable,
Notifications Disabled,Notifications Disabled,Notifications Disabled,Notifications Disabled,Notifications Disabled,
Please allow us to show notifications for Adhan timings.,Please allow us to show notifications for Adhan timings.,Please allow us to show notifications for Adhan timings.,Please allow us to show notifications for Adhan timings.,Please allow us to show notifications for Adhan timings.,
Allow,Allow,Allow,Allow,Allow,
Surah Audio not downloaded,Surah Audio not downloaded,Surah Audio not downloaded,Surah Audio not downloaded,Surah Audio not downloaded,
Please go back to the main screen to download surah audio files in order to play them here.,Please go back to the main screen to download surah audio files in order to play them here.,Please go back to the main screen to download surah audio files in order to play them here.,Please go back to the main screen to download surah audio files in order to play them here.,Please go back to the main screen to download surah audio files in order to play them here.,
Back to Surah,Back to Surah,Back to Surah,Back to Surah,Back to Surah,
Go to Main Screen,Go to Main Screen,Go to Main Screen,Go to Main Screen,Go to Main Screen,
quran settings,Quran Settings,Quran Settings,Quran Settings,Quran Settings,
select an organisation,Select an Organisation,Select an Organisation,Select an Organisation,
